day,hamster_id,log10_pfu,cens,group,treat
3,1,3.929418926,0,1,ctrl
3,2,4.505149978,0,1,ctrl
3,3,4.477121255,0,1,ctrl
3,4,4.397940009,0,1,ctrl
3,5,4.662757832,0,1,ctrl
4,1,4.230448921,0,1,ctrl
4,2,4.278753601,0,1,ctrl
4,3,4.06069784,0,1,ctrl
4,4,3.77815125,0,1,ctrl
4,5,4.255272505,0,1,ctrl
5,1,3,0,1,ctrl
5,2,3.84509804,0,1,ctrl
5,3,4.021189299,0,1,ctrl
5,4,3.602059991,0,1,ctrl
5,5,3.812913357,0,1,ctrl
2.5,6,5.612783857,0,2,ctrl
2.5,7,5.648360011,0,2,ctrl
2.5,8,5.720159303,0,2,ctrl
2.5,9,6.041392685,0,2,ctrl
2.5,10,4.812913357,0,2,ctrl
3.5,6,5.602059991,0,2,ctrl
3.5,7,5.698970004,0,2,ctrl
3.5,8,5.041392685,0,2,ctrl
3.5,9,5.079181246,0,2,ctrl
3.5,10,5.190331698,0,2,ctrl
4.5,6,5.06069784,0,2,ctrl
4.5,7,4.477121255,0,2,ctrl
4.5,8,4.06069784,0,2,ctrl
4.5,9,3.84509804,0,2,ctrl
4.5,10,5.40654018,0,2,ctrl
3,1,3.602059991,0,1,TIP
3,2,3,0,1,TIP
3,3,2.698970004,1,1,TIP
3,4,3.875061263,0,1,TIP
3,5,3.698970004,0,1,TIP
4,1,3,0,1,TIP
4,2,3.812913357,0,1,TIP
4,3,3,0,1,TIP
4,4,2.698970004,1,1,TIP
4,5,3.954242509,0,1,TIP
5,1,2.698970004,1,1,TIP
5,2,2.698970004,1,1,TIP
5,3,2.698970004,1,1,TIP
5,4,2.698970004,1,1,TIP
5,5,3.84509804,0,1,TIP
2.5,6,2.698970004,1,2,TIP
2.5,7,4.477121255,0,2,TIP
2.5,8,4.812913357,0,2,TIP
2.5,9,4.875061263,0,2,TIP
2.5,10,2.698970004,1,2,TIP
3.5,6,4.041392685,0,2,TIP
3.5,7,3.176091259,0,2,TIP
3.5,8,4,0,2,TIP
3.5,9,3.903089987,0,2,TIP
3.5,10,4.607455023,0,2,TIP
4.5,6,3.875061263,0,2,TIP
4.5,7,3,0,2,TIP
4.5,8,3.301029996,0,2,TIP
4.5,9,2.698970004,1,2,TIP
4.5,10,3,0,2,TIP